label,n_features,alpha,train_positive_rate,test_pred_mean,test_pred_min,test_pred_max,feature_set,output_file
Q1,601,1.0,0.4955555555555556,0.5046105027774952,0.24672730991312541,0.68912674329514,day_plus_w21_24,submission_global_w21_24.csv
Q2,601,0.5,0.5622222222222222,0.5309877107319304,0.45980484134358546,0.6203497992917187,day_plus_w21_24,submission_global_w21_24.csv
Q3,601,0.5,0.6,0.5565519277812477,0.4497906840106889,0.6459156876894194,day_plus_w21_24,submission_global_w21_24.csv
S1,601,0.5,0.6822222222222222,0.6054166207971248,0.5070639273780592,0.708321002898634,day_plus_w21_24,submission_global_w21_24.csv
S2,601,1.0,0.6511111111111111,0.5285069410056694,0.29451011207361644,0.7993822088372219,day_plus_w21_24,submission_global_w21_24.csv
S3,601,0.7,0.6622222222222223,0.5712788334442674,0.37084755656314305,0.7476386058462814,day_plus_w21_24,submission_global_w21_24.csv
S4,601,1.0,0.56,0.5036291527207666,0.3384778968502029,0.7282020676973143,day_plus_w21_24,submission_global_w21_24.csv
Q1,1815,1.0,0.4955555555555556,0.5010418776500166,0.20301101765385796,0.7112024930239551,day_plus_all_windows,submission_labelwise_best_window.csv
Q2,601,0.5,0.5622222222222222,0.5303609089935232,0.45680060210652923,0.6356147720007002,day_plus_w18_24,submission_labelwise_best_window.csv
Q3,300,0.5,0.6,0.5558221747564797,0.4193060007192103,0.635806685580007,day_only,submission_labelwise_best_window.csv
S1,1815,0.5,0.6822222222222222,0.6091198721746758,0.5182225646475238,0.7287819475923514,day_plus_all_windows,submission_labelwise_best_window.csv
S2,601,1.0,0.6511111111111111,0.5285069410056694,0.2945101120736163,0.799382208837222,day_plus_w21_24,submission_labelwise_best_window.csv
S3,1815,0.75,0.6622222222222223,0.5724935376430497,0.3115348040966115,0.7799572072606133,day_plus_all_windows,submission_labelwise_best_window.csv
S4,601,1.0,0.56,0.5036291527207666,0.3384778968502029,0.7282020676973143,day_plus_w21_24,submission_labelwise_best_window.csv
