Category,Feature,Importance
App Usage,w21_24_app_top_캐시워크,0.0056
App Usage,app_w18_24_app_top_share_median,0.0053
App Usage,w18_24_app_top_캐시워크,0.0052
Location Context,gps_w21_24_gps_alt_mean_median,0.0066
Location Context,gps_w21_24_gps_alt_mean_mean,0.0052
Location Context,gps_w21_24_gps_point_count_max,0.0049
Network Context,wifi_w21_24_rssi_max_median,0.0060
Network Context,ble_day_unique_count_max,0.0056
Network Context,ble_day_scan_count_max,0.0054
Other Sensors,w20_02_ambience_top1_outside_rural_or_natural_ratio,0.0060
Other Sensors,month,0.0057
Other Sensors,phone_light_day_m_light_mean,0.0050
